,Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,post
1515413,SP9 7TF,SP9  7TF,SP9 7TF,Jan-80,0,423242,145676,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023197,,E02004820,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.668662,51.209821,Postcode Level,04/01/2018,"(51.209821, -1.668662)",1468536,sp97tf
1515529,SP4 6AA,SP4  6AA,SP4 6AA,Jan-80,0,412945,133228,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008331,Bourne and Woodford Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032013,,E02006664,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.816501,51.098208,Postcode Level,04/01/2018,"(51.098208, -1.816501)",1464659,sp46aa
1516240,SP4 7RE,SP4  7RE,SP4 7RE,Jun-81,0,416058,140970,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008330,Amesbury West,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031979,,E02006663,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.771712,51.167751,Postcode Level,04/01/2018,"(51.167751, -1.771712)",1465088,sp47re
1516292,SP102LX,SP10 2LX,SP10 2LX,Jan-80,0,435458,144831,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023188,,E02004819,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.493874,51.201598,Postcode Level,04/01/2018,"(51.201598, -1.493874)",1461090,sp102lx
1516467,SP4 9HL,SP4  9HL,SP4 9HL,Jan-80,0,417480,143847,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008337,"Bulford, Allington and Figheldean",E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031989,,E02006662,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.751235,51.19358,Postcode Level,04/01/2018,"(51.19358, -1.751235)",1465438,sp49hl
1516625,SP5 4DD,SP5  4DD,SP5 4DD,Jan-80,0,407045,125688,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031990,,E02006669,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.900913,51.030515,Postcode Level,04/01/2018,"(51.030515, -1.900913)",1466253,sp54dd
1516849,SP7 8AL,SP7  8AL,SP7 8AL,Jan-80,0,386300,123126,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020454,,E02004257,,7A1,Constrained city dwellers;Challenged diversity;Transitional Eastern European neighbourhood,-2.196641,51.007353,Postcode Level,04/01/2018,"(51.007353, -2.196641)",1467353,sp78al
1517100,SP8 4SZ,SP8  4SZ,SP8 4SZ,Feb-90,0,381146,126152,1,E10000009,Dorset,E07000050,North Dorset,E05010004,Gillingham Town,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020443,,E02004255,,7A1,Constrained city dwellers;Challenged diversity;Transitional Eastern European neighbourhood,-2.270259,51.034416,Postcode Level,04/01/2018,"(51.034416, -2.270259)",1468042,sp84sz
1517183,SP1 2YH,SP1  2YH,SP1 2YH,Jan-92,1,413857,130232,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032024,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.803601,51.071252,Postcode Level,04/01/2018,"(51.071252, -1.803601)",1460470,sp12yh
1517243,SP117JS,SP11 7JS,SP11 7JS,Jan-80,0,438705,140713,1,E10000014,Hampshire,E07000093,Test Valley,E05004640,Harewood,E92000001,England,E12000008,South East,E14000901,Romsey and Southampton North,E15000008,South East,E16000133,Hampshire,E01023178,,E02004821,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.447844,51.164361,Postcode Level,04/01/2018,"(51.164361, -1.447844)",1462435,sp117js
1517931,SP117NJ,SP11 7NJ,SP11 7NJ,Jan-80,0,433798,143666,1,E10000014,Hampshire,E07000093,Test Valley,E05004632,Anna,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01032870,,E02004818,,1A2,Rural residents;Farming communities;Established farming communities,-1.517742,51.191223,Postcode Level,04/01/2018,"(51.191223, -1.517742)",1462468,sp117nj
1517953,SP105EE,SP10 5EE,SP10 5EE,Jan-80,0,437151,147098,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023157,,E02004815,,7A3,Constrained city dwellers;Challenged diversity;Multi-ethnic hardship,-1.469409,51.221875,Postcode Level,04/01/2018,"(51.221875, -1.469409)",1461637,sp105ee
1517978,SP116UX,SP11 6UX,SP11 6UX,Jul-14,0,439607,147106,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023201,,E02004816,,1C3,Rural residents;Ageing rural dwellers;Detached rural retirement,-1.434242,51.221782,Postcode Level,04/01/2018,"(51.221782, -1.434242)",1462289,sp116ux
1518171,SP7 8NF,SP7  8NF,SP7 8NF,Jan-80,0,386833,122751,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020455,,E02004257,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-2.18903,51.003993,Postcode Level,04/01/2018,"(51.003993, -2.18903)",1467517,sp78nf
1518273,SP6 2AF,SP6  2AF,SP6 2AF,Jan-80,0,416246,117488,1,E10000014,Hampshire,E07000091,New Forest,E05008932,Downlands and Forest,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023012,,E02004779,,1A2,Rural residents;Farming communities;Established farming communities,-1.77007,50.956594,Postcode Level,04/01/2018,"(50.956594, -1.77007)",1466789,sp62af
1518457,SP4 9DB,SP4  9DB,SP4 9DB,Jan-80,0,416546,143775,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008337,"Bulford, Allington and Figheldean",E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031989,,E02006662,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-1.764604,51.19296,Postcode Level,04/01/2018,"(51.19296, -1.764604)",1465395,sp49db
1518463,SP116HY,SP11 6HY,SP11 6HY,Jan-80,0,437300,149846,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.46699,51.246574,Postcode Level,04/01/2018,"(51.246574, -1.46699)",1462133,sp116hy
1518848,SP9 7PU,SP9  7PU,SP9 7PU,Jan-80,0,423610,148803,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008399,Tidworth,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01032697,,E02006643,,4A2,Multicultural metropolitans;Rented family living;Private renting new arrivals,-1.663189,51.237924,Postcode Level,04/01/2018,"(51.237924, -1.663189)",1468484,sp97pu
1519272,SP3 6QD,SP3  6QD,SP3 6QD,Jan-80,0,394238,129966,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008401,Tisbury,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032030,,E02006676,,1B1,Rural residents;Rural tenants;Rural life,-2.083612,51.068995,Postcode Level,04/01/2018,"(51.068995, -2.083612)",1464465,sp36qd
1519350,SP2 8JP,SP2  8JP,SP2 8JP,Jan-80,0,413875,128836,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008388,Salisbury Harnham,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032009,,E02006673,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.803397,51.058699,Postcode Level,04/01/2018,"(51.058699, -1.803397)",1463587,sp28jp
1519541,SP3 4HF,SP3  4HF,SP3 4HF,Jan-80,0,407310,143182,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032026,,E02006661,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.896776,51.187813,Postcode Level,04/01/2018,"(51.187813, -1.896776)",1463933,sp34hf
1519715,SP4 7AZ,SP4  7AZ,SP4 7AZ,Sep-08,0,416629,140305,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031976,,E02006663,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.763576,51.161756,Postcode Level,04/01/2018,"(51.161756, -1.763576)",1464883,sp47az
1519855,SP116SE,SP11 6SE,SP11 6SE,Sep-14,0,438939,146905,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023201,,E02004816,,1C3,Rural residents;Ageing rural dwellers;Detached rural retirement,-1.443828,51.220021,Postcode Level,04/01/2018,"(51.220021, -1.443828)",1462249,sp116se
1520090,SP104EB,SP10 4EB,SP10 4EB,Jan-80,0,435336,147159,1,E10000014,Hampshire,E07000093,Test Valley,E05004636,Charlton,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023169,,E02004814,,8A1,Hard-pressed living;Industrious communities;Industrious transitions,-1.495391,51.222538,Postcode Level,04/01/2018,"(51.222538, -1.495391)",1461540,sp104eb
1520143,SP4 7TT,SP4  7TT,SP4 7TT,Jun-98,0,416568,141335,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031978,,E02006663,,5A1,Urbanites;Urban professionals and families;White professionals,-1.764401,51.171019,Postcode Level,04/01/2018,"(51.171019, -1.764401)",1465125,sp47tt
1520182,SP109HE,SP10 9HE,SP10 9HE,Feb-15,1,436302,145363,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023204,,E02004817,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.48174,51.206329,Postcode Level,04/01/2018,"(51.206329, -1.48174)",1461750,sp109he
1520392,SP7 8HH,SP7  8HH,SP7 8HH,Jan-80,0,386116,122622,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020457,,E02004257,,1B1,Rural residents;Rural tenants;Rural life,-2.199244,51.002816,Postcode Level,04/01/2018,"(51.002816, -2.199244)",1467463,sp78hh
1520530,SP2 0DA,SP2  0DA,SP2 0DA,Dec-00,0,409343,131312,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008419,Wilton and Lower Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032038,,E02006669,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.868,51.081054,Postcode Level,04/01/2018,"(51.081054, -1.868)",1463007,sp20da
1520576,SP8 5FD,SP8  5FD,SP8 5FD,Jul-05,0,377363,130624,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020440,,E02004256,,1B1,Rural residents;Rural tenants;Rural life,-2.324489,51.074491,Postcode Level,04/01/2018,"(51.074491, -2.324489)",1468170,sp85fd
1520598,SP103DR,SP10 3DR,SP10 3DR,Jan-80,0,434766,146220,1,E10000014,Hampshire,E07000093,Test Valley,E05004641,Harroway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023180,,E02004818,,5A1,Urbanites;Urban professionals and families;White professionals,-1.503644,51.21413,Postcode Level,04/01/2018,"(51.21413, -1.503644)",1461222,sp103dr
1520822,SP118HU,SP11 8HU,SP11 8HU,Oct-84,0,430527,146603,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.564298,51.217815,Postcode Level,04/01/2018,"(51.217815, -1.564298)",1462628,sp118hu
1520973,SP4 7PP,SP4  7PP,SP4 7PP,Jan-80,0,416204,141828,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008330,Amesbury West,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031974,,E02006663,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.769585,51.175462,Postcode Level,04/01/2018,"(51.175462, -1.769585)",1465055,sp47pp
1521674,SP1 3QY,SP1  3QY,SP1 3QY,Jan-80,0,414377,132321,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008390,Salisbury St Francis and Stratford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032018,,E02006668,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.796096,51.090024,Postcode Level,04/01/2018,"(51.090024, -1.796096)",1460699,sp13qy
1522585,SP5 5PZ,SP5  5PZ,SP5 5PZ,Jan-80,0,394818,117147,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01031991,,E02006676,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-2.07514,50.953723,Postcode Level,04/01/2018,"(50.953723, -2.07514)",1466519,sp55pz
1522715,SP6 1QJ,SP6  1QJ,SP6 1QJ,Sep-91,0,415089,114957,1,E10000014,Hampshire,E07000091,New Forest,E05008933,Fordingbridge,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023023,,E02004779,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.786647,50.933866,Postcode Level,04/01/2018,"(50.933866, -1.786647)",1466750,sp61qj
1522877,SP4 7HW,SP4  7HW,SP4 7HW,Jan-80,0,415859,140809,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008330,Amesbury West,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031979,,E02006663,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.774565,51.166309,Postcode Level,04/01/2018,"(51.166309, -1.774565)",1464987,sp47hw
1523285,SP6 1GD,SP6  1GD,SP6 1GD,Dec-01,0,414382,114031,1,E10000014,Hampshire,E07000091,New Forest,E05008933,Fordingbridge,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023022,,E02004779,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.796744,50.925557,Postcode Level,04/01/2018,"(50.925557, -1.796744)",1466648,sp61gd
1523324,SP119QD,SP11 9QD,SP11 9QD,Aug-92,0,426414,150772,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008368,Ludgershall and Perham Down,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031859,,E02006643,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.62288,51.255506,Postcode Level,04/01/2018,"(51.255506, -1.62288)",1462903,sp119qd
1523491,SP2 7PD,SP2  7PD,SP2 7PD,Jun-01,0,413799,130621,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032024,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.804414,51.074752,Postcode Level,04/01/2018,"(51.074752, -1.804414)",1463389,sp27pd
1523694,SP9 7SF,SP9  7SF,SP9 7SF,Jan-80,0,423396,148463,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008399,Tidworth,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031880,,E02006643,,5A1,Urbanites;Urban professionals and families;White professionals,-1.666276,51.234875,Postcode Level,04/01/2018,"(51.234875, -1.666276)",1468518,sp97sf
1523756,SP7 9JS,SP7  9JS,SP7 9JS,Jan-80,0,387307,127745,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032010,,E02006665,,1C2,Rural residents;Ageing rural dwellers;Renting rural retirement,-2.182451,51.048911,Postcode Level,04/01/2018,"(51.048911, -2.182451)",1467702,sp79js
1523781,SP103QJ,SP10 3QJ,SP10 3QJ,Jan-80,0,434936,145004,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023186,,E02004818,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-1.501328,51.203186,Postcode Level,04/01/2018,"(51.203186, -1.501328)",1461374,sp103qj
1524419,SP6 2AD,SP6  2AD,SP6 2AD,Jan-80,0,416095,117537,1,E10000014,Hampshire,E07000091,New Forest,E05008932,Downlands and Forest,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023012,,E02004779,,1A2,Rural residents;Farming communities;Established farming communities,-1.77221,50.957032,Postcode Level,04/01/2018,"(50.957032, -1.77221)",1466787,sp62ad
1524490,SP118LX,SP11 8LX,SP11 8LX,Jan-80,0,429385,145489,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1A2,Rural residents;Farming communities;Established farming communities,-1.58074,51.207858,Postcode Level,04/01/2018,"(51.207858, -1.58074)",1462664,sp118lx
1524592,SP8 5DN,SP8  5DN,SP8 5DN,Jun-96,0,377946,130874,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020440,,E02004256,,1B3,Rural residents;Rural tenants;Ageing rural flat tenants,-2.316183,51.076762,Postcode Level,04/01/2018,"(51.076762, -2.316183)",1468138,sp85dn
1524615,SP5 1SQ,SP5  1SQ,SP5 1SQ,Jan-80,0,421393,133343,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008421,Winterslow,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032041,,E02006675,,6A3,Suburbanites;Suburban achievers;Detached retirement living,-1.69586,51.098997,Postcode Level,04/01/2018,"(51.098997, -1.69586)",1465737,sp51sq
1524641,SP110QG,SP11 0QG,SP11 0QG,Jan-80,0,430811,147549,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023196,,E02004818,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.560151,51.226306,Postcode Level,04/01/2018,"(51.226306, -1.560151)",1461945,sp110qg
1525229,SP4 6NS,SP4  6NS,SP4 6NS,Jan-80,0,412276,136336,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008331,Bourne and Woodford Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032013,,E02006664,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.82596,51.126176,Postcode Level,04/01/2018,"(51.126176, -1.82596)",1464834,sp46ns
1525415,SP7 8EQ,SP7  8EQ,SP7 8EQ,Jan-80,0,386837,123598,1,E10000009,Dorset,E07000050,North Dorset,E05010010,Shaftesbury East,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020456,,E02004257,,8B1,Hard-pressed living;Challenged terraced workers;Deprived blue-collar terraces,-2.189004,51.01161,Postcode Level,04/01/2018,"(51.01161, -2.189004)",1467412,sp78eq
1525512,SP104NG,SP10 4NG,SP10 4NG,Jun-99,0,435835,147438,1,E10000014,Hampshire,E07000093,Test Valley,E05004641,Harroway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023181,,E02004814,,5A2,Urbanites;Urban professionals and families;Multi-ethnic professionals with families,-1.488218,51.225016,Postcode Level,04/01/2018,"(51.225016, -1.488218)",1461582,sp104ng
1526032,SP8 5QP,SP8  5QP,SP8 5QP,Jan-80,0,383168,128747,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020450,,E02004256,,1A3,Rural residents;Farming communities;Agricultural communities,-2.241544,51.057814,Postcode Level,04/01/2018,"(51.057814, -2.241544)",1468281,sp85qp
1526431,SP4 0EJ,SP4  0EJ,SP4 0EJ,Jan-80,0,420760,142924,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008337,"Bulford, Allington and Figheldean",E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032033,,E02006664,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.704351,51.185171,Postcode Level,04/01/2018,"(51.185171, -1.704351)",1464582,sp40ej
1526884,SP101DG,SP10 1DG,SP10 1DG,Jan-80,0,436430,145855,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023204,,E02004817,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.479858,51.210745,Postcode Level,04/01/2018,"(51.210745, -1.479858)",1460809,sp101dg
1526891,SP6 2DD,SP6  2DD,SP6 2DD,Jan-80,0,414928,118824,1,E10000014,Hampshire,E07000091,New Forest,E05008932,Downlands and Forest,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023012,,E02004779,,1A2,Rural residents;Farming communities;Established farming communities,-1.788772,50.968636,Postcode Level,04/01/2018,"(50.968636, -1.788772)",1466817,sp62dd
1526928,SP7 0ND,SP7  0ND,SP7 0ND,Jan-80,0,387557,118766,1,E10000009,Dorset,E07000050,North Dorset,E05010013,The Beacon,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020460,,E02004259,,1B1,Rural residents;Rural tenants;Rural life,-2.178574,50.968175,Postcode Level,04/01/2018,"(50.968175, -2.178574)",1467287,sp70nd
1527024,SP3 5HT,SP3  5HT,SP3 5HT,Jan-80,0,401003,131557,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032004,,E02006669,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.987058,51.083331,Postcode Level,04/01/2018,"(51.083331, -1.987058)",1464154,sp35ht
1527126,SP4 7BG,SP4  7BG,SP4 7BG,Jan-80,0,414146,141521,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008330,Amesbury West,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031979,,E02006663,,1C3,Rural residents;Ageing rural dwellers;Detached rural retirement,-1.799036,51.172756,Postcode Level,04/01/2018,"(51.172756, -1.799036)",1464888,sp47bg
1527138,SP2 8PU,SP2  8PU,SP2 8PU,Jan-80,0,411010,129784,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032000,,E02006672,,5A1,Urbanites;Urban professionals and families;White professionals,-1.844248,51.067285,Postcode Level,04/01/2018,"(51.067285, -1.844248)",1463647,sp28pu
1527742,SP2 8ZN,SP2  8ZN,SP2 8ZN,Jul-07,1,413857,130232,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008393,Salisbury St Paul's,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032024,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.803601,51.071252,Postcode Level,04/01/2018,"(51.071252, -1.803601)",1463676,sp28zn
1527810,SP7 8EU,SP7  8EU,SP7 8EU,Jan-80,0,386507,122528,1,E10000009,Dorset,E07000050,North Dorset,E05010011,Shaftesbury West,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020457,,E02004257,,1A4,Rural residents;Farming communities;Older farming communities,-2.193668,51.00198,Postcode Level,04/01/2018,"(51.00198, -2.193668)",1467416,sp78eu
1527882,SP119HS,SP11 9HS,SP11 9HS,Jan-80,0,431012,148911,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023196,,E02004818,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.557155,51.238542,Postcode Level,04/01/2018,"(51.238542, -1.557155)",1462828,sp119hs
1528117,SP117JZ,SP11 7JZ,SP11 7JZ,Jan-93,0,438004,139528,1,E10000014,Hampshire,E07000093,Test Valley,E05004640,Harewood,E92000001,England,E12000008,South East,E14000901,Romsey and Southampton North,E15000008,South East,E16000133,Hampshire,E01023178,,E02004821,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.457982,51.153748,Postcode Level,04/01/2018,"(51.153748, -1.457982)",1462441,sp117jz
